city,latitude,longitude,cityFIPS7,county,countyPrimary_igfi,countyPrimary,countyFIPS5,stateName,type
Delmar,42.0022453,-90.6070804,1919720,Clinton,x,,19045,Iowa,
Deloit,42.0962471,-95.3151231,1919765,Crawford,x,,19047,Iowa,
Delphos,40.6636026,-94.3394014,1919810,Ringgold,x,,19159,Iowa,
Delta,41.322788,-92.3301841,1919855,Keokuk,x,,19107,Iowa,
Alvord,43.3420659,-96.3022407,1901675,Lyon,x,,19119,Iowa,
Denison,42.024988,-95.3588867,1919945,Crawford,x,,19047,Iowa,
Denmark,40.7417052,-91.3373735,1919990,Lee,x,,19111,Iowa,CDP
Denver,42.6713718,-92.3374045,1920035,Bremer,x,,19017,Iowa,
Derby,40.931668,-93.4563244,1920125,Lucas,x,,19117,Iowa,
Des Moines,41.6005448,-93.6091064,1921000,Polk,x,,19153,Iowa,
Dexter,41.5183216,-94.2263482,1921225,Dallas,x,,19049,Iowa,
Diagonal,40.8094349,-94.3421793,1921270,Ringgold,x,,19159,Iowa,
Diamonhead Lake,41.5519057,-94.2570505,1921320,Guthrie,x,,19077,Iowa,CDP
Dickens,43.1313557,-95.0236013,1921360,Clay,x,,19041,Iowa,
Dike,42.4641498,-92.6282497,1921405,Grundy,x,,19075,Iowa,
Amana,41.8025421,-91.8781829,1901720,Iowa,x,,19095,Iowa,CDP
Dixon,41.7428049,-90.7823673,1921540,Scott,x,,19163,Iowa,
Dolliver,43.4653322,-94.615572,1921675,Emmet,x,,19063,Iowa,
Donahue,41.6947513,-90.675419,1921720,Scott,x,,19163,Iowa,
Donnellson,40.6428152,-91.5646028,1921810,Lee,x,,19111,Iowa,
Doon,43.2794231,-96.2328025,1921900,Lyon,x,,19119,Iowa,
Douds,40.8394673,-92.0865655,1922035,Van Buren,x,,19177,Iowa,CDP
Dougherty,42.9221925,-93.0421421,1922080,Cerro Gordo,x,,19033,Iowa,
Dow City,41.9288774,-95.4938899,1922215,Crawford,x,,19047,Iowa,
Dows,42.656564,-93.5010558,1922305,Franklin,,,19069,Iowa,
Dows,42.656564,-93.5010558,1922305,Wright,x,x,19197,Iowa,
Ames,42.0307812,-93.6319131,1901855,Story,x,,19169,Iowa,
Drakesville,40.7983533,-92.4815754,1922350,Davis,x,,19051,Iowa,
Dubuque,42.5005583,-90.6645718,1922395,Dubuque,x,,19061,Iowa,
Dumont,42.748585,-92.9724184,1922620,Butler,x,,19023,Iowa,
Duncan,43.1046831,-93.7113274,1922710,Hancock,x,,19081,Iowa,CDP
Duncombe,42.4703633,-93.9932858,1922755,Webster,x,,19187,Iowa,
Dundee,42.5791517,-91.5465384,1922800,Delaware,x,,19055,Iowa,
