County or equivalent,State or equivalent,Population (2020 census),Area (mi^2)
Spencer,Indiana,"19,810",397
Starke,Indiana,"23,371",309
Steuben,Indiana,"34,435",309
Sullivan,Indiana,"20,817",447
Switzerland,Indiana,"9,737",221
Tippecanoe,Indiana,"186,251",500
Tipton,Indiana,"15,339",261
Union,Indiana,"7,087",161
Vanderburgh,Indiana,"180,136",233
Vermillion,Indiana,"15,439",257
Vigo,Indiana,"106,153",403
Wabash,Indiana,"30,976",412
Warren,Indiana,"8,440",365
Warrick,Indiana,"63,898",385
Washington,Indiana,"28,182",514
Wayne,Indiana,"66,553",402
Wells,Indiana,"28,180",368
White,Indiana,"25,688",505
Whitley,Indiana,"34,191",336
Adair,Iowa,"7,496",569
Adams,Iowa,"3,704",424
Allamakee,Iowa,"14,061",640
Appanoose,Iowa,"12,317",496
Audubon,Iowa,"5,674",443
Benton,Iowa,"25,575",716
Black Hawk,Iowa,"131,144",567
Boone,Iowa,"26,715",572
Bremer,Iowa,"24,988",428
Buchanan,Iowa,"20,565",571
Buena Vista,Iowa,"20,823",575
Butler,Iowa,"14,334",580
Calhoun,Iowa,"9,927",570
Carroll,Iowa,"20,760",569
Cass,Iowa,"13,127",564
Cedar,Iowa,"18,505",580
Cerro Gordo,Iowa,"43,127",568
Cherokee,Iowa,"11,658",577
Chickasaw,Iowa,"12,012",505
Clarke,Iowa,"9,748",431
Clay,Iowa,"16,384",569
Clayton,Iowa,"17,043",779
Clinton,Iowa,"46,460",695
Crawford,Iowa,"16,525",714
Dallas,Iowa,"99,678",586
Davis,Iowa,"9,110",503
Decatur,Iowa,"7,645",532
Delaware,Iowa,"17,488",578
Des Moines,Iowa,"38,910",416
Dickinson,Iowa,"17,703",381
Dubuque,Iowa,"99,266",608
Emmet,Iowa,"9,388",396
Fayette,Iowa,"19,509",731
Floyd,Iowa,"15,627",501
Franklin,Iowa,"10,019",582
Fremont,Iowa,"6,605",511
Greene,Iowa,"8,771",568
Grundy,Iowa,"12,329",503
Guthrie,Iowa,"10,623",591
Hamilton,Iowa,"15,039",577
Hancock,Iowa,"10,795",571
Hardin,Iowa,"16,878",569
Harrison,Iowa,"14,582",697
Henry,Iowa,"20,482",434
Howard,Iowa,"9,469",473
Humboldt,Iowa,"9,597",434
Ida,Iowa,"7,005",432
Iowa,Iowa,"16,662",586
Jackson,Iowa,"19,485",636
Jasper,Iowa,"37,813",730
Jefferson,Iowa,"15,663",435
Johnson,Iowa,"152,854",614
Jones,Iowa,"20,646",575
Keokuk,Iowa,"10,033",579
Kossuth,Iowa,"14,828",973
Lee,Iowa,"33,555",517
Linn,Iowa,"230,299",718
Louisa,Iowa,"10,837",402
Lucas,Iowa,"8,634",431
Lyon,Iowa,"11,934",588
Madison,Iowa,"16,548",561
Mahaska,Iowa,"22,190",571
Marion,Iowa,"33,414",554
Marshall,Iowa,"40,105",572
Mills,Iowa,"14,484",437
Mitchell,Iowa,"10,565",469
Monona,Iowa,"8,751",693
Monroe,Iowa,"7,577",433
Montgomery,Iowa,"10,330",424
Muscatine,Iowa,"43,235",439
O'Brien,Iowa,"14,182",573
Osceola,Iowa,"6,192",399
Page,Iowa,"15,211",535
Palo Alto,Iowa,"8,996",564
Plymouth,Iowa,"25,698",864
Pocahontas,Iowa,"7,078",578
Polk,Iowa,"492,401",570
Pottawattamie,Iowa,"93,667",954
Poweshiek,Iowa,"18,662",585
Ringgold,Iowa,"4,663",538
Sac,Iowa,"9,814",576
Scott,Iowa,"174,669",458
Shelby,Iowa,"11,746",591
Sioux,Iowa,"35,872",768
Story,Iowa,"98,537",573
Tama,Iowa,"17,135",721
Taylor,Iowa,"5,896",534
Union,Iowa,"12,138",424
Van Buren,Iowa,"7,203",485
Wapello,Iowa,"35,437",432
Warren,Iowa,"52,403",572
Washington,Iowa,"22,565",569
Wayne,Iowa,"6,497",526
Webster,Iowa,"36,999",715
Winnebago,Iowa,"10,679",400
Winneshiek,Iowa,"20,070",690
Woodbury,Iowa,"105,941",873
Worth,Iowa,"7,443",400
Wright,Iowa,"12,943",581
Allen,Kansas,"12,526",503
Anderson,Kansas,"7,836",583
Atchison,Kansas,"16,348",432
Barber,Kansas,"4,228",1134
Barton,Kansas,"25,493",894
Bourbon,Kansas,"14,360",637
Brown,Kansas,"9,508",571
Butler,Kansas,"67,380",1428
Chase,Kansas,"2,572",776
Chautauqua,Kansas,"3,379",642
Cherokee,Kansas,"19,362",587
Cheyenne,Kansas,"2,616",1020
Clark,Kansas,"1,991",975
Clay,Kansas,"8,117",644
Cloud,Kansas,"9,032",716
Coffey,Kansas,"8,360",630
Comanche,Kansas,"1,689",788
Cowley,Kansas,"34,549",1126
Crawford,Kansas,"38,972",593
Decatur,Kansas,"2,764",894
Dickinson,Kansas,"18,402",848
Doniphan,Kansas,"7,510",392
Douglas,Kansas,"118,785",457
Edwards,Kansas,"2,907",622
Elk,Kansas,"2,483",648
Ellis,Kansas,"28,934",900
Ellsworth,Kansas,"6,376",716
Finney,Kansas,"38,470",1300
Ford,Kansas,"34,287",1099
Franklin,Kansas,"25,996",574
Geary,Kansas,"36,739",384
Gove,Kansas,"2,718",1072
Graham,Kansas,"2,415",898
Grant,Kansas,"7,352",575
Gray,Kansas,"5,653",869
Greeley,Kansas,"1,284",778
Greenwood,Kansas,"6,016",1140
Hamilton,Kansas,"2,518",996
Harper,Kansas,"5,485",802
Harvey,Kansas,"34,024",539
Haskell,Kansas,"3,780",577
Hodgeman,Kansas,"1,723",860
Jackson,Kansas,"13,232",657
Jefferson,Kansas,"18,368",536
Jewell,Kansas,"2,932",909
Johnson,Kansas,"609,863",477
Kearny,Kansas,"3,983",870
Kingman,Kansas,"7,470",864
Kiowa,Kansas,"2,460",722
Labette,Kansas,"20,184",649
Lane,Kansas,"1,574",717
Leavenworth,Kansas,"81,881",463
Lincoln,Kansas,"2,939",719
Linn,Kansas,"9,591",599
Logan,Kansas,"2,762",1073
Lyon,Kansas,"32,179",851
McPherson,Kansas,"30,223",943
Marion,Kansas,"11,823",903
Marshall,Kansas,"10,038",900
Meade,Kansas,"4,055",978
Miami,Kansas,"34,191",577
Mitchell,Kansas,"5,796",700
Montgomery,Kansas,"31,486",645
Morris,Kansas,"5,386",697
Morton,Kansas,"2,701",730
Nemaha,Kansas,"10,273",719
Neosho,Kansas,"15,904",572
Ness,Kansas,"2,687",1075
Norton,Kansas,"5,459",878
Osage,Kansas,"15,766",704
Osborne,Kansas,"3,500",893
Ottawa,Kansas,"5,735",721
Pawnee,Kansas,"6,253",754
Phillips,Kansas,"4,981",886
Pottawatomie,Kansas,"25,348",844
Pratt,Kansas,"9,157",735
Rawlins,Kansas,"2,561",1070
Reno,Kansas,"61,898",1254
Republic,Kansas,"4,674",716
Rice,Kansas,"9,427",727
Riley,Kansas,"71,959",610
Rooks,Kansas,"4,919",888
Rush,Kansas,"2,956",718
Russell,Kansas,"6,691",885
Saline,Kansas,"54,303",720
Scott,Kansas,"5,151",718
Sedgwick,Kansas,"523,824",1000
Seward,Kansas,"21,964",640
Shawnee,Kansas,"178,909",550
Sheridan,Kansas,"2,447",896
Sherman,Kansas,"5,927",1056
Smith,Kansas,"3,570",896
Stafford,Kansas,"4,072",792
Stanton,Kansas,"2,084",680
Stevens,Kansas,"5,250",728
Sumner,Kansas,"22,382",1182
Thomas,Kansas,"7,930",1075
Trego,Kansas,"2,808",888
Wabaunsee,Kansas,"6,877",798
Wallace,Kansas,"1,512",914
Washington,Kansas,"5,530",898
Wichita,Kansas,"2,152",719
Wilson,Kansas,"8,624",574
Woodson,Kansas,"3,115",501
Wyandotte,Kansas,"169,245",151
Adair,Kentucky,"18,903",407
Allen,Kentucky,"20,588",3446
Anderson,Kentucky,"23,852",203
Ballard,Kentucky,"7,728",251
Barren,Kentucky,"44,485",491
Bath,Kentucky,"12,750",279
Bell,Kentucky,"24,097",361
Boone,Kentucky,"135,968",246
Bourbon,Kentucky,"20,252",291
Boyd,Kentucky,"48,261",160
Boyle,Kentucky,"30,614",182
Bracken,Kentucky,"8,400",203
Breathitt,Kentucky,"13,718",495
Breckinridge,Kentucky,"20,432",572
Bullitt,Kentucky,"82,217",299
Butler,Kentucky,"12,371",428
Caldwell,Kentucky,"12,649",347
Calloway,Kentucky,"37,103",386
Campbell,Kentucky,"93,076",152
Carlisle,Kentucky,"4,826",192
Carroll,Kentucky,"10,810",130
Carter,Kentucky,"26,627",411
Casey,Kentucky,"15,941",446
Christian,Kentucky,"72,748",721
Clark,Kentucky,"36,972",254
Clay,Kentucky,"20,345",471
Clinton,Kentucky,"9,253",198
Crittenden,Kentucky,"8,990",362
Cumberland,Kentucky,"5,888",306
Daviess,Kentucky,"103,312",462
Edmonson,Kentucky,"12,126",303
Elliott,Kentucky,"7,354",234
Estill,Kentucky,"14,163",254
Fayette,Kentucky,"322,570",284
Fleming,Kentucky,"15,082",351
Floyd,Kentucky,"35,942",394
Franklin,Kentucky,"51,541",210
Fulton,Kentucky,"6,515",209
Gallatin,Kentucky,"8,690",105
Garrard,Kentucky,"16,953",231
Grant,Kentucky,"24,941",260
Graves,Kentucky,"36,649",556
Grayson,Kentucky,"26,420",504
Green,Kentucky,"11,107",289
Greenup,Kentucky,"35,962",346
Hancock,Kentucky,"9,095",189
Hardin,Kentucky,"110,702",628
Harlan,Kentucky,"26,831",467
Harrison,Kentucky,"18,692",310
Hart,Kentucky,"19,288",416
Henderson,Kentucky,"44,793",440
Henry,Kentucky,"15,678",289
Hickman,Kentucky,"4,521",244
Hopkins,Kentucky,"45,423",551
Jackson,Kentucky,"12,955",346
Jefferson,Kentucky,"782,969",385
Jessamine,Kentucky,"52,991",173
Johnson,Kentucky,"22,680",262
Kenton,Kentucky,"169,064",163
Knott,Kentucky,"14,251",352
Knox,Kentucky,"30,193",388
LaRue,Kentucky,"14,867",263
Laurel,Kentucky,"62,613",436
Lawrence,Kentucky,"16,293",419
Lee,Kentucky,"7,395",210
Leslie,Kentucky,"10,513",404
Letcher,Kentucky,"21,548",339
Lewis,Kentucky,"13,080",484
Lincoln,Kentucky,"24,275",337
Livingston,Kentucky,"8,888",316
Logan,Kentucky,"27,432",556
Lyon,Kentucky,"8,680",216
McCracken,Kentucky,"67,875",251
McCreary,Kentucky,"16,888",428
McLean,Kentucky,"9,152",254
Madison,Kentucky,"92,701",441
Magoffin,Kentucky,"11,637",310
Marion,Kentucky,"19,581",347
Marshall,Kentucky,"31,659",305
Martin,Kentucky,"11,287",231
Mason,Kentucky,"17,120",241
Meade,Kentucky,"30,003",308
Menifee,Kentucky,"6,113",204
Mercer,Kentucky,"22,641",251
Metcalfe,Kentucky,"10,286",291
Monroe,Kentucky,"11,338",331
Montgomery,Kentucky,"28,114",199
Morgan,Kentucky,"13,726",381
Muhlenberg,Kentucky,"30,928",475
Nelson,Kentucky,"46,738",423
Nicholas,Kentucky,"7,537",197
Ohio,Kentucky,"23,772",594
Oldham,Kentucky,"67,607",189
Owen,Kentucky,"11,278",352
Owsley,Kentucky,"4,051",198
Pendleton,Kentucky,"14,644",280
Perry,Kentucky,"28,473",342
Pike,Kentucky,"58,669",788
Powell,Kentucky,"13,129",180
Pulaski,Kentucky,"65,034",662
Robertson,Kentucky,"2,193",100
Rockcastle,Kentucky,"16,037",318
Rowan,Kentucky,"24,662",281
Russell,Kentucky,"17,991",254
Scott,Kentucky,"57,155",285
Shelby,Kentucky,"48,065",384
Simpson,Kentucky,"19,594",236
Spencer,Kentucky,"19,490",186
Taylor,Kentucky,"26,023",270
Todd,Kentucky,"12,243",376
Trigg,Kentucky,"14,061",443
Trimble,Kentucky,"8,474",149
Union,Kentucky,"13,668",345
Warren,Kentucky,"134,554",545
Washington,Kentucky,"12,027",301
Wayne,Kentucky,"19,555",459
Webster,Kentucky,"13,017",335
Whitley,Kentucky,"36,712",440
Wolfe,Kentucky,"6,562",223
Woodford,Kentucky,"26,871",191
Acadia Parish,Louisiana,"57,576",658
Allen Parish,Louisiana,"22,750",766
Ascension Parish,Louisiana,"126,500",303
Assumption Parish,Louisiana,"21,039",364
Avoyelles Parish,Louisiana,"39,693",866
Beauregard Parish,Louisiana,"36,549",1166
Bienville Parish,Louisiana,"12,981",822
Bossier Parish,Louisiana,"128,746",867
Caddo Parish,Louisiana,"237,848",937
Calcasieu Parish,Louisiana,"216,785",1094
Caldwell Parish,Louisiana,"9,645",541
Cameron Parish,Louisiana,"5,617",1932
Catahoula Parish,Louisiana,"8,906",739
Claiborne Parish,Louisiana,"14,170",768
Concordia Parish,Louisiana,"18,687",749
De Soto Parish,Louisiana,"26,812",895
East Baton Rouge Parish,Louisiana,"456,781",471
East Carroll Parish,Louisiana,"7,459",442
East Feliciana Parish,Louisiana,"19,539",456
Evangeline Parish,Louisiana,"32,350",680
Franklin Parish,Louisiana,"19,774",636
Grant Parish,Louisiana,"22,169",664
Iberia Parish,Louisiana,"69,929",1031
Iberville Parish,Louisiana,"30,241",653
Jackson Parish,Louisiana,"15,031",580
Jefferson Parish,Louisiana,"440,781",642
Jefferson Davis Parish,Louisiana,"32,250",659
Lafayette Parish,Louisiana,"241,753",270
Lafourche Parish,Louisiana,"97,557",1472
LaSalle Parish,Louisiana,"14,791",663
Lincoln Parish,Louisiana,"48,396",472
Livingston Parish,Louisiana,"142,282",703
Madison Parish,Louisiana,"10,017",651
Morehouse Parish,Louisiana,"25,629",805
Natchitoches Parish,Louisiana,"37,515",1299
Orleans Parish,Louisiana,"383,997",350
Ouachita Parish,Louisiana,"160,368",633
Plaquemines Parish,Louisiana,"23,515",2429
Pointe Coupee Parish,Louisiana,"20,758",591
Rapides Parish,Louisiana,"130,023",1362
Red River Parish,Louisiana,"7,620",402
Richland Parish,Louisiana,"20,043",564
Sabine Parish,Louisiana,"22,155",1012
St. Bernard Parish,Louisiana,"43,764",1794
St. Charles Parish,Louisiana,"52,549",410
St. Helena Parish,Louisiana,"10,920",409
St. James Parish,Louisiana,"20,192",258
St. John the Baptist Parish,Louisiana,"42,477",348
St. Landry Parish,Louisiana,"82,540",939
St. Martin Parish,Louisiana,"51,767",817
St. Mary Parish,Louisiana,"49,406",612
St. Tammany Parish,Louisiana,"264,570",1124
Tangipahoa Parish,Louisiana,"133,157",823
Tensas Parish,Louisiana,"4,147",641
Terrebonne Parish,Louisiana,"109,580",2080
Union Parish,Louisiana,"21,107",905
Vermilion Parish,Louisiana,"57,359",1538
Vernon Parish,Louisiana,"48,750",1341
Washington Parish,Louisiana,"45,463",676
Webster Parish,Louisiana,"36,967",615
West Baton Rouge Parish,Louisiana,"27,199",203
West Carroll Parish,Louisiana,"9,751",360
West Feliciana Parish,Louisiana,"15,310",426
Winn Parish,Louisiana,"13,755",957
Androscoggin,Maine,"111,139",497
Aroostook,Maine,"67,105",6829
Cumberland,Maine,"303,069",1217
Franklin,Maine,"29,456",1744
Hancock,Maine,"55,478",2351
Kennebec,Maine,"123,642",951
Knox,Maine,"40,607",1142
Lincoln,Maine,"35,237",700
Oxford,Maine,"57,777",2175
Penobscot,Maine,"152,199",3556
Piscataquis,Maine,"16,800",4377
Sagadahoc,Maine,"36,699",370
Somerset,Maine,"50,477",4095
Waldo,Maine,"39,607",853
Washington,Maine,"31,095",3255
York,Maine,"211,972",1271
Allegany,Maryland,"68,106",430
Anne Arundel,Maryland,"588,261",588
Baltimore,Maryland,"854,535",682
Calvert,Maryland,"92,783",92
Caroline,Maryland,"33,293",345
Carroll,Maryland,"172,891",326
Cecil,Maryland,"103,725",452
Charles,Maryland,"166,617",418
Dorchester,Maryland,"32,531",643
Frederick,Maryland,"271,717",540
Garrett,Maryland,"28,806",667
Harford,Maryland,"260,924",656
Howard,Maryland,"332,317",527
Kent,Maryland,"19,198",254
Montgomery,Maryland,"1,062,061",414
Prince George's,Maryland,"967,201",507
Queen Anne's,Maryland,"49,874",498
St. Mary's,Maryland,"113,777",510
Somerset,Maryland,"24,620",611
Talbot,Maryland,"37,526",611
Washington,Maryland,"154,705",477
Wicomico,Maryland,"103,588",468
Worcester,Maryland,"52,460",400
Baltimore City,Maryland,"585,708",695
Barnstable,Massachusetts,"228,996",396
Berkshire,Massachusetts,"129,026",931
Bristol,Massachusetts,"579,200",556
Dukes,Massachusetts,"20,600",104
Essex,Massachusetts,"809,829",498
Franklin,Massachusetts,"71,029",702
Hampden,Massachusetts,"465,825",618
Hampshire,Massachusetts,"162,308",529
Middlesex,Massachusetts,"1,632,002",824
"Nantucket, Town and County of",Massachusetts,"14,255",48
Norfolk,Massachusetts,"725,981",400
Plymouth,Massachusetts,"530,819",661
Suffolk,Massachusetts,"797,936",58
Worcester,Massachusetts,"862,111",1513
Alcona,Michigan,"10,167",1791
Alger,Michigan,"8,842",5049
Allegan,Michigan,"120,502",1833
Alpena,Michigan,"28,907",1695
Antrim,Michigan,"23,431",602
Arenac,Michigan,"15,002",681
Baraga,Michigan,"8,158",1069
Barry,Michigan,"62,423",577
Bay,Michigan,"103,856",631
Benzie,Michigan,"17,970",860
Berrien,Michigan,"154,316",1581
Branch,Michigan,"44,862",519
Calhoun,Michigan,"134,310",718
Cass,Michigan,"51,589",508
Charlevoix,Michigan,"26,054",1391
Cheboygan,Michigan,"25,579",885
Chippewa,Michigan,"36,785",2698
Clare,Michigan,"30,856",885
Clinton,Michigan,"79,128",575
Crawford,Michigan,"12,988",563
Delta,Michigan,"36,903",1992
Dickinson,Michigan,"25,947",777
Eaton,Michigan,"109,175",579
Emmet,Michigan,"34,112",882
Genesee,Michigan,"406,211",649
Gladwin,Michigan,"25,386",516
Gogebic,Michigan,"14,380",1476
Grand Traverse,Michigan,"95,238",601
Gratiot,Michigan,"41,761",572
Hillsdale,Michigan,"45,746",607
Houghton,Michigan,"37,361",1502
Huron,Michigan,"31,407",2136
Ingham,Michigan,"284,900",561
Ionia,Michigan,"66,804",580
Iosco,Michigan,"25,237",1891
Iron,Michigan,"11,631",1211
Isabella,Michigan,"64,394",578
Jackson,Michigan,"160,366",724
Kalamazoo,Michigan,"261,670",580
Kalkaska,Michigan,"17,939",571
Kent,Michigan,"657,974",872
Keweenaw,Michigan,"2,046",5966
Lake,Michigan,"12,096",575
Lapeer,Michigan,"88,619",663
Leelanau,Michigan,"22,301",2532
Lenawee,Michigan,"99,423",761
Livingston,Michigan,"193,866",585
Luce,Michigan,"5,339",1912
Mackinac,Michigan,"10,834",2101
Macomb,Michigan,"881,217",570
Manistee,Michigan,"25,032",1281
Marquette,Michigan,"66,017",3425
Mason,Michigan,"29,052",1242
Mecosta,Michigan,"39,714",571
Menominee,Michigan,"23,502",1338
Midland,Michigan,"83,494",528
Missaukee,Michigan,"15,052",574
Monroe,Michigan,"154,809",680
Montcalm,Michigan,"66,614",721
Montmorency,Michigan,"9,153",562
Muskegon,Michigan,"175,824",1459
Newaygo,Michigan,"49,978",861
Oakland,Michigan,"1,274,395",908
Oceana,Michigan,"26,659",1307
Ogemaw,Michigan,"20,770",575
Ontonagon,Michigan,"5,816",3741
Osceola,Michigan,"22,891",573
Oscoda,Michigan,"8,219",572
Otsego,Michigan,"25,091",526
Ottawa,Michigan,"296,200",1632
Presque Isle,Michigan,"12,982",2573
Roscommon,Michigan,"23,459",580
Saginaw,Michigan,"190,124",816
St. Clair,Michigan,"160,383",837
St. Joseph,Michigan,"60,939",521
Sanilac,Michigan,"40,611",1590
Schoolcraft,Michigan,"8,047",1884
Shiawassee,Michigan,"68,094",541
Tuscola,Michigan,"53,323",914
Van Buren,Michigan,"75,587",1090
Washtenaw,Michigan,"372,258",723
Wayne,Michigan,"1,793,561",672
Wexford,Michigan,"33,673",576
Aitkin,Minnesota,"15,697",1819.3
Anoka,Minnesota,"363,887",423.61
Becker,Minnesota,"35,183",1310.42
Beltrami,Minnesota,"46,228",2505.27
Benton,Minnesota,"41,379",408.28
Big Stone,Minnesota,"5,166",496.95
Blue Earth,Minnesota,"69,112",752.36
Brown,Minnesota,"25,912",610.86
Carlton,Minnesota,"36,207",860.33
Carver,Minnesota,"106,922",357.04
Cass,Minnesota,"30,066",2017.6
Chippewa,Minnesota,"12,598",582.8
Chisago,Minnesota,"56,621",417.63
Clay,Minnesota,"65,318",1045.24
Clearwater,Minnesota,"8,524",994.71
Cook,Minnesota,"5,600",1450.6
Cottonwood,Minnesota,"11,517",639.99
Crow Wing,Minnesota,"66,123",996.57
Dakota,Minnesota,"439,882",569.58
Dodge,Minnesota,"20,867",439.5
Douglas,Minnesota,"39,006",634.32
Faribault,Minnesota,"13,921",713.63
Fillmore,Minnesota,"21,228",861.25
Freeborn,Minnesota,"30,895",707.64
Goodhue,Minnesota,"47,582",758.27
Grant,Minnesota,"6,074",546.41
Hennepin,Minnesota,"1,281,565",556.62
Houston,Minnesota,"18,843",558.41
Hubbard,Minnesota,"21,344",922.46
Isanti,Minnesota,"41,135",439.07
Itasca,Minnesota,"45,014",2665.06
Jackson,Minnesota,"9,989",701.69
Kanabec,Minnesota,"16,032",524.93
Kandiyohi,Minnesota,"43,732",796.06
Kittson,Minnesota,"4,207",1097.08
Koochiching,Minnesota,"12,062",3102.36
Lac qui Parle,Minnesota,"6,719",764.87
Lake,Minnesota,"10,905",2099.16
Lake of the Woods,Minnesota,"3,763",1296.7
Le Sueur,Minnesota,"28,674",448.5
Lincoln,Minnesota,"5,640",537.03
Lyon,Minnesota,"25,269",714.17
McLeod,Minnesota,"36,771",491.91
Mahnomen,Minnesota,"5,411",556.14
Marshall,Minnesota,"9,040",1772.24
Martin,Minnesota,"20,025",709.34
Meeker,Minnesota,"23,400",608.54
Mille Lacs,Minnesota,"26,459",574.47
Morrison,Minnesota,"34,010",1124.5
Mower,Minnesota,"40,029",711.5
Murray,Minnesota,"8,179",704.43
Nicollet,Minnesota,"34,454",452.29
Nobles,Minnesota,"22,290",715.39
Norman,Minnesota,"6,441",876.27
Olmsted,Minnesota,"162,847",653.01
Otter Tail,Minnesota,"60,081",1979.71
Pennington,Minnesota,"13,992",616.54
Pine,Minnesota,"28,876",1411.04
Pipestone,Minnesota,"9,424",465.89
Polk,Minnesota,"31,192",1970.37
Pope,Minnesota,"11,308",670.14
Ramsey,Minnesota,"552,352",155.78
Red Lake,Minnesota,"3,935",432.43
Redwood,Minnesota,"15,425",879.73
Renville,Minnesota,"14,723",982.92
Rice,Minnesota,"67,097",497.57
Rock,Minnesota,"9,704",482.61
Roseau,Minnesota,"15,331",1662.51
St. Louis,Minnesota,"200,231",6225.16
Scott,Minnesota,"150,928",356.68
Sherburne,Minnesota,"97,183",436.3
Sibley,Minnesota,"14,836",588.65
Stearns,Minnesota,"158,292",1344.52
Steele,Minnesota,"37,406",429.55
Stevens,Minnesota,"9,671",562.06
Swift,Minnesota,"9,838",743.53
Todd,Minnesota,"25,262",942.02
Traverse,Minnesota,"3,360",574.09
Wabasha,Minnesota,"21,387",525.01
Wadena,Minnesota,"14,065",535.02
Waseca,Minnesota,"18,968",432.25
Washington,Minnesota,"267,568",391.7
Watonwan,Minnesota,"11,253",434.51
Wilkin,Minnesota,"6,506",751.43
Winona,Minnesota,"49,671",626.3
Wright,Minnesota,"141,337",660.5
Yellow Medicine,Minnesota,"9,528",757.96
Adams,Mississippi,"29,538",460
Alcorn,Mississippi,"34,740",400
Amite,Mississippi,"12,720",730
Attala,Mississippi,"17,889",735
Benton,Mississippi,"7,646",407
Bolivar,Mississippi,"30,985",876
Calhoun,Mississippi,"13,266",587
Carroll,Mississippi,"9,998",628
Chickasaw,Mississippi,"17,106",502
Choctaw,Mississippi,"8,246",419
Claiborne,Mississippi,"9,135",487
Clarke,Mississippi,"15,615",691
Clay,Mississippi,"18,636",409
Coahoma,Mississippi,"21,390",554
Copiah,Mississippi,"28,368",777
Covington,Mississippi,"18,340",414
DeSoto,Mississippi,"185,314",478
Forrest,Mississippi,"78,158",467
Franklin,Mississippi,"7,675",565
George,Mississippi,"24,350",478
Greene,Mississippi,"13,530",713
Grenada,Mississippi,"21,629",422
Hancock,Mississippi,"46,053",477
Harrison,Mississippi,"208,621",581
Hinds,Mississippi,"227,742",869
Holmes,Mississippi,"17,000",756
Humphreys,Mississippi,"7,785",418
Issaquena,Mississippi,"1,338",413
Itawamba,Mississippi,"23,863",532
Jackson,Mississippi,"143,252",727
Jasper,Mississippi,"16,367",676
Jefferson,Mississippi,"7,260",519
Jefferson Davis,Mississippi,"11,321",408
Jones,Mississippi,"67,246",694
Kemper,Mississippi,"8,988",766
Lafayette,Mississippi,"55,813",631
Lamar,Mississippi,"64,222",497
Lauderdale,Mississippi,"72,984",704
Lawrence,Mississippi,"12,016",431
Leake,Mississippi,"21,275",583
Lee,Mississippi,"83,343",450
Leflore,Mississippi,"28,339",592
Lincoln,Mississippi,"34,907",586
